date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:09	10804/10804	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268f24fb6-81ed%22	https://vectorbt.pro/robots.txt		(from )
10:45:09	406/406	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-196%22	https://vectorbt.pro/pvt_41531c19/tutorials/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/tutorials/index.html	(from )
10:45:10	406/406	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-196%22	https://vectorbt.pro/pvt_41531c19/cookbook/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/cookbook/index.html	(from )
10:45:10	406/406	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-196%22	https://vectorbt.pro/pvt_41531c19/documentation/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/documentation/index.html	(from )
10:45:10	49162/49162	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-c00a%22	https://vectorbt.pro/pvt_41531c19/api/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/api/index.html	(from )
10:45:10	406/406	U-----	200	untouched ('OK')	text/html	etag:W/%2268f24fb6-196%22	https://vectorbt.pro/pvt_41531c19/features/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/index.html	(from )
10:45:11	32443/32443	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-7ebb%22	https://vectorbt.pro/pvt_41531c19/documentation/overview/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/documentation/overview/index.html	(from https://vectorbt.pro/pvt_41531c19/documentation/)
10:45:11	44469/44469	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-adb5%22	https://vectorbt.pro/pvt_41531c19/cookbook/overview/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/cookbook/overview/index.html	(from https://vectorbt.pro/pvt_41531c19/cookbook/)
10:45:12	36254/36254	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-8d9e%22	https://vectorbt.pro/pvt_41531c19/tutorials/overview/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/tutorials/overview/index.html	(from https://vectorbt.pro/pvt_41531c19/tutorials/)
10:45:12	40389/40389	U-----	200	untouched ('OK')	text/html	etag:W/%2268f24fb6-9dc5%22	https://vectorbt.pro/pvt_41531c19/features/overview/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/overview/index.html	(from https://vectorbt.pro/pvt_41531c19/features/)
10:45:12	2541/2541	---MC-	200	added ('OK')	text/css	date:Sat,%2022%20Nov%202025%2003:45:11%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CRoboto+Mono:400,400i,700,700i&display=fallback	D:/stockvip/vectorbtLearn/docs/fonts.googleapis.com/cssbe43.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:12	45079/45079	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-b017%22	https://vectorbt.pro/pvt_41531c19/cookbook/signals/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/cookbook/signals/index.html	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:12	42024/42024	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-a428%22	https://vectorbt.pro/pvt_41531c19/api/_dtypes/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/api/_dtypes/index.html	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:12	1514/1514	U-----	200	untouched ('')	image/png	etag:%2268f24fb6-5ea%22	https://vectorbt.pro/pvt_41531c19/assets/logo/favicon.png	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/logo/favicon.png	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:15	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2003:45:14%20GMT	https://fonts.gstatic.com/	D:/stockvip/vectorbtLearn/docs/fonts.gstatic.com/index.html	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:48	402434/402434	---MC-	200	added ('OK')	application/javascript	date:Sat,%2022%20Nov%202025%2003:45:12%20GMT	https://www.googletagmanager.com/gtag/js?id=G-0C5VNYCFHL	D:/stockvip/vectorbtLearn/docs/www.googletagmanager.com/gtag/jsc6c8	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:49	4646/4646	U--M-Z	200	updated ('OK')	text/css	etag:W/%2268f24fb6-1226%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-light.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-light.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:50	4830/4830	U--M-Z	200	updated ('OK')	text/css	etag:W/%2268f24fb5-12de%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-dark.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/custom-dark.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:55	12641/12641	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-3161%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/palette.ab4e12ef.min.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/palette.ab4e12ef.min.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:55	140120/140120	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-22358%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/main.010a373c.min.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/main.010a373c.min.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:56	8137/8137	U--M-Z	200	updated ('OK')	text/css	etag:W/%2268f24fb5-1fc9%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-dark.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-dark.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:45:57	11281/11281	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-2c11%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/extra.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/extra.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:46:01	148347/148347	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-2437b%22	https://vectorbt.pro/pvt_41531c19/tutorials/basic-rsi/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/tutorials/basic-rsi/index.html	(from https://vectorbt.pro/pvt_41531c19/tutorials/overview/)
10:46:03	31560/31560	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-7b48%22	https://vectorbt.pro/pvt_41531c19/tutorials/to-be-continued/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/tutorials/to-be-continued/index.html	(from https://vectorbt.pro/pvt_41531c19/documentation/overview/)
10:46:04	128295/128295	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-1f527%22	https://vectorbt.pro/pvt_41531c19/documentation/fundamentals/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/documentation/fundamentals/index.html	(from https://vectorbt.pro/pvt_41531c19/documentation/overview/)
10:46:05	30030/30030	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-754e%22	https://vectorbt.pro/pvt_41531c19/documentation/to-be-continued/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/documentation/to-be-continued/index.html	(from https://vectorbt.pro/pvt_41531c19/cookbook/overview/)
10:46:05	72400/72400	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-11ad0%22	https://vectorbt.pro/pvt_41531c19/cookbook/arrays/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/cookbook/arrays/index.html	(from https://vectorbt.pro/pvt_41531c19/cookbook/overview/)
10:46:07	257461/257461	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb6-3edb5%22	https://vectorbt.pro/pvt_41531c19/cookbook/portfolio/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/cookbook/portfolio/index.html	(from https://vectorbt.pro/pvt_41531c19/cookbook/signals/)
10:46:09	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Nov%202025%2003:46:08%20GMT	https://fonts.gstatic.com/robots.txt		(from https://vectorbt.pro/pvt_41531c19/api/)
10:46:11	67822/67822	---M-Z	200	added ('OK')	text/html	etag:W/%2268f24fb5-108ee%22	https://vectorbt.pro/pvt_41531c19/api/_opt_deps/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/api/_opt_deps/index.html	(from https://vectorbt.pro/pvt_41531c19/api/_dtypes/)
10:46:17	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2022%20Nov%202025%2003:46:11%20GMT	https://fonts.googleapis.com/robots.txt		(from https://vectorbt.pro/pvt_41531c19/api/)
10:46:17	7688/7688	U-----	200	untouched ('OK')	text/css	etag:W/%2268f24fb5-1e08%22	https://vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-light.css	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/assets/stylesheets/pygments-light.css	(from https://vectorbt.pro/pvt_41531c19/api/)
10:46:17	91842/91842	U-----	200	untouched ('OK')	text/html	etag:W/%2268f24fb6-166c2%22	https://vectorbt.pro/pvt_41531c19/features/analysis/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/analysis/index.html	(from https://vectorbt.pro/pvt_41531c19/features/overview/)
10:46:17	240146/240146	U-----	200	untouched ('OK')	text/html	etag:W/%2268f24fb6-3aa12%22	https://vectorbt.pro/pvt_41531c19/features/productivity/	D:/stockvip/vectorbtLearn/docs/vectorbt.pro/pvt_41531c19/features/productivity/index.html	(from https://vectorbt.pro/pvt_41531c19/tutorials/overview/)
10:46:18	43624/43624	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2018%20Nov%202025%2019:01:44%20GMT	https://fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLt_QuAj-lg.ttf	D:/stockvip/vectorbtLearn/docs/fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLt_QuAj-lg.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CRoboto+Mono:400,400i,700,700i&display=fallback)
10:46:19	43592/43592	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2018%20Nov%202025%2019:01:44%20GMT	https://fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLoHQuAj-lg.ttf	D:/stockvip/vectorbtLearn/docs/fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLoHQuAj-lg.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CRoboto+Mono:400,400i,700,700i&display=fallback)
10:46:20	43808/43808	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2018%20Nov%202025%2019:01:44%20GMT	https://fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLmbXuAj-lg.ttf	D:/stockvip/vectorbtLearn/docs/fonts.gstatic.com/s/roboto/v50/KFOKCnqEu92Fr1Mu53ZEC9_Vu3r1gIhOszmOClHrs6ljXfMMLmbXuAj-lg.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CRoboto+Mono:400,400i,700,700i&display=fallback)
